Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	CTDPRS [dbar]	QV:IODE	CTDTMP [deg C]	QV:IODE	CTDSAL [pss-78]	QV:IODE	CTDOXY [umol/kg]	QV:IODE	Fluorescence Chl-a [mg/m~^3]	QV:IODE	Fluorescence Raw Data [arbitrary units]	QV:IODE	Transmissometer Beam Attenuation [1/m]	QV:IODE	Transmissometer Raw Data [arbitrary units]	QV:IODE	Turbidity Raw Data [arbitrary units]	QV:IODE	PAR Raw Data [arbitrary units]	QV:IODE	QV:ODV:SAMPLE
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	4.000	1	20.85600	1	36.659000	1	214.900	1	0.04000	1		9	0.146000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	5.000	1	20.86000	1	36.659000	1	214.900	1	0.04000	1		9	0.146000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	6.000	1	20.86800	1	36.660000	1	214.900	1	0.04000	1		9	0.146000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	7.000	1	20.85800	1	36.661999	1	215.000	1	0.04000	1		9	0.145000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	8.000	1	20.81600	1	36.667000	1	215.200	1	0.04000	1		9	0.145000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	9.000	1	20.72700	1	36.674999	1	215.500	1	0.03000	1		9	0.145000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	10.000	1	20.58600	1	36.681999	1	215.900	1	0.04000	1		9	0.144000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	11.000	1	20.43500	1	36.687000	1	216.400	1	0.04000	1		9	0.144000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	12.000	1	20.28800	1	36.688999	1	217.100	1	0.04000	1		9	0.144000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	13.000	1	20.18700	1	36.683998	1	217.800	1	0.04000	1		9	0.144000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	14.000	1	20.12200	1	36.678001	1	219.500	1	0.04000	1		9	0.144000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	15.000	1	20.09600	1	36.672001	1	219.500	1	0.04000	1		9	0.144000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	16.000	1	20.08400	1	36.671001	1	219.500	1	0.04000	1		9	0.144000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	17.000	1	20.07400	1	36.669998	1	219.600	1	0.04000	1		9	0.144000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	18.000	1	20.06400	1	36.668999	1	219.600	1	0.05000	1		9	0.144000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	19.000	1	20.05500	1	36.667999	1	219.600	1	0.05000	1		9	0.144000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	20.000	1	20.04700	1	36.667999	1	219.700	1	0.05000	1		9	0.144000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	21.000	1	20.04000	1	36.667999	1	219.700	1	0.05000	1		9	0.144000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	22.000	1	20.03400	1	36.667999	1	219.700	1	0.05000	1		9	0.145000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	23.000	1	20.02800	1	36.667999	1	219.800	1	0.05000	1		9	0.145000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	24.000	1	20.02200	1	36.667999	1	219.900	1	0.04000	1		9	0.145000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	25.000	1	20.01200	1	36.668999	1	220.000	1	0.04000	1		9	0.146000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	26.000	1	19.99300	1	36.669998	1	220.100	1	0.04000	1		9	0.146000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	27.000	1	19.96900	1	36.671001	1	220.400	1	0.04000	1		9	0.147000	1		9		9		9	1
GA02	UP319181	C	2010-05-22T10:12:00	301.95001	33.43340	28.000	1	19.94400	1	36.671001	1	220.600	1	0.04000	1		9	0.148000	1		9		9		9	1
