Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	CTDPRS [dbar]	QV:IODE	CTDTMP [deg C]	QV:IODE	CTDSAL [pss-78]	QV:IODE	CTDOXY [umol/kg]	QV:IODE	Fluorescence Chl-a [mg/m~^3]	QV:IODE	Fluorescence Raw Data [arbitrary units]	QV:IODE	Transmissometer Beam Attenuation [1/m]	QV:IODE	Transmissometer Raw Data [arbitrary units]	QV:IODE	Turbidity Raw Data [arbitrary units]	QV:IODE	PAR Raw Data [arbitrary units]	QV:IODE	QV:ODV:SAMPLE
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	5.000	1	24.29600	1	35.692001	1	208.800	1	0.02000	1		9	0.076000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	6.000	1	24.29000	1	35.692001	1	208.800	1	0.02000	1		9	0.076000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	7.000	1	24.27600	1	35.693001	1	208.800	1	0.02000	1		9	0.076000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	8.000	1	24.26900	1	35.693001	1	209.200	1	0.02000	1		9	0.075000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	9.000	1	24.26000	1	35.694000	1	209.700	1	0.02000	1		9	0.075000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	10.000	1	24.25300	1	35.694000	1	210.100	1	0.02000	1		9	0.075000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	11.000	1	24.25000	1	35.694000	1	210.200	1	0.02000	1		9	0.075000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	12.000	1	24.24900	1	35.694000	1	210.000	1	0.02000	1		9	0.075000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	13.000	1	24.24400	1	35.695000	1	209.700	1	0.02000	1		9	0.075000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	14.000	1	24.23900	1	35.695000	1	209.400	1	0.02000	1		9	0.075000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	15.000	1	24.22100	1	35.695999	1	209.400	1	0.02000	1		9	0.075000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	16.000	1	24.18900	1	35.695999	1	209.400	1	0.02000	1		9	0.075000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	17.000	1	24.15000	1	35.696999	1	209.700	1	0.02000	1		9	0.075000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	18.000	1	24.12400	1	35.696999	1	210.000	1	0.03000	1		9	0.075000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	19.000	1	24.11500	1	35.696999	1	210.400	1	0.03000	1		9	0.075000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	20.000	1	24.11100	1	35.696999	1	210.500	1	0.03000	1		9	0.074000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	21.000	1	24.10500	1	35.695999	1	210.500	1	0.03000	1		9	0.074000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	22.000	1	24.09500	1	35.694000	1	210.300	1	0.03000	1		9	0.074000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	23.000	1	24.08500	1	35.693001	1	210.200	1	0.03000	1		9	0.074000	1		9		9		9	1
GA02	UC057101	C	2011-03-15T20:38:00	324.21579	-29.06200	24.000	1	24.07700	1	35.692001	1	210.200	1	0.02000	1		9	0.075000	1		9		9		9	1
