Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	CTDPRS [dbar]	QV:IODE	CTDTMP [deg C]	QV:IODE	CTDSAL [pss-78]	QV:IODE	CTDOXY [umol/kg]	QV:IODE	Fluorescence Chl-a [mg/m~^3]	QV:IODE	Fluorescence Raw Data [arbitrary units]	QV:IODE	Transmissometer Beam Attenuation [1/m]	QV:IODE	Transmissometer Raw Data [arbitrary units]	QV:IODE	Turbidity Raw Data [arbitrary units]	QV:IODE	PAR Raw Data [arbitrary units]	QV:IODE	QV:ODV:SAMPLE
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	5.000	1	20.42200	1	35.401001	1	225.900	1	0.03000	1		9	0.071000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	6.000	1	20.42200	1	35.400002	1	226.100	1	0.03000	1		9	0.071000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	7.000	1	20.42200	1	35.400002	1	226.600	1	0.03000	1		9	0.071000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	8.000	1	20.42000	1	35.400002	1	226.800	1	0.03000	1		9	0.071000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	9.000	1	20.42000	1	35.400002	1	226.800	1	0.03000	1		9	0.071000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	10.000	1	20.41800	1	35.400002	1	226.800	1	0.03000	1		9	0.070000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	11.000	1	20.41500	1	35.400002	1	226.700	1	0.03000	1		9	0.070000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	12.000	1	20.40800	1	35.397999	1	226.800	1	0.03000	1		9	0.070000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	13.000	1	20.39300	1	35.396999	1	227.000	1	0.03000	1		9	0.070000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	14.000	1	20.38100	1	35.395000	1	227.300	1	0.03000	1		9	0.070000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	15.000	1	20.37200	1	35.394001	1	227.500	1	0.03000	1		9	0.071000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	16.000	1	20.37200	1	35.394001	1	227.800	1	0.03000	1		9	0.071000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	17.000	1	20.37100	1	35.394001	1	227.600	1	0.03000	1		9	0.071000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	18.000	1	20.36600	1	35.391998	1	227.400	1	0.03000	1		9	0.071000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	19.000	1	20.34600	1	35.389000	1	227.200	1	0.03000	1		9	0.071000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	20.000	1	20.32300	1	35.384998	1	227.300	1	0.03000	1		9	0.071000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	21.000	1	20.28200	1	35.377998	1	227.600	1	0.03000	1		9	0.072000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	22.000	1	20.22700	1	35.368000	1	227.900	1	0.03000	1		9	0.072000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	23.000	1	20.15400	1	35.360001	1	228.100	1	0.03000	1		9	0.072000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	24.000	1	20.09300	1	35.355000	1	228.300	1	0.03000	1		9	0.073000	1		9		9		9	1
GA02	UC057072	C	2011-03-12T05:49:00	318.86951	-37.83820	25.000	1	20.05600	1	35.355000	1	228.400	1	0.03000	1		9	0.073000	1		9		9		9	1
