Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	CTDPRS [dbar]	QV:IODE	CTDTMP [deg C]	QV:IODE	CTDSAL [pss-78]	QV:IODE	CTDOXY [umol/kg]	QV:IODE	Fluorescence Chl-a [mg/m~^3]	QV:IODE	Fluorescence Raw Data [arbitrary units]	QV:IODE	Transmissometer Beam Attenuation [1/m]	QV:IODE	Transmissometer Raw Data [arbitrary units]	QV:IODE	Turbidity Raw Data [arbitrary units]	QV:IODE	PAR Raw Data [arbitrary units]	QV:IODE	QV:ODV:SAMPLE
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	7.000	1	17.36900	1	34.528000	1	252.200	1	0.30000	1		9	0.357000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	8.000	1	17.31400	1	34.528000	1	252.900	1	0.30000	1		9	0.356000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	9.000	1	17.22700	1	34.528000	1	254.100	1	0.30000	1		9	0.355000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	10.000	1	17.17000	1	34.528000	1	254.800	1	0.30000	1		9	0.350000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	11.000	1	17.08600	1	34.533001	1	255.300	1	0.30000	1		9	0.347000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	12.000	1	16.95000	1	34.543999	1	255.900	1	0.30000	1		9	0.342000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	13.000	1	16.79600	1	34.560001	1	257.500	1	0.29000	1		9	0.333000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	14.000	1	16.69100	1	34.570999	1	259.000	1	0.28000	1		9	0.318000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	15.000	1	16.63100	1	34.577000	1	260.200	1	0.27000	1		9	0.299000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	16.000	1	16.58100	1	34.578999	1	260.300	1	0.26000	1		9	0.285000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	17.000	1	16.52700	1	34.580002	1	260.300	1	0.26000	1		9	0.276000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	18.000	1	16.47600	1	34.581001	1	260.300	1	0.27000	1		9	0.269000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	19.000	1	16.44200	1	34.581001	1	260.300	1	0.28000	1		9	0.264000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	20.000	1	16.41700	1	34.581001	1	260.300	1	0.28000	1		9	0.259000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	21.000	1	16.39200	1	34.581001	1	260.300	1	0.29000	1		9	0.254000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	22.000	1	16.35900	1	34.581001	1	260.200	1	0.31000	1		9	0.250000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	23.000	1	16.32600	1	34.580002	1	259.800	1	0.35000	1		9	0.247000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	24.000	1	16.29500	1	34.580002	1	259.000	1	0.40000	1		9	0.245000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	25.000	1	16.27300	1	34.578999	1	257.800	1	0.45000	1		9	0.243000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	26.000	1	16.25800	1	34.578999	1	256.800	1	0.49000	1		9	0.244000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	27.000	1	16.25100	1	34.578999	1	256.200	1	0.53000	1		9	0.245000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	28.000	1	16.24600	1	34.578999	1	255.800	1	0.56000	1		9	0.247000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	29.000	1	16.23800	1	34.578999	1	255.200	1	0.60000	1		9	0.249000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	30.000	1	16.22900	1	34.578999	1	254.600	1	0.65000	1		9	0.251000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	31.000	1	16.21300	1	34.578999	1	254.000	1	0.68000	1		9	0.253000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	32.000	1	16.18900	1	34.578999	1	253.400	1	0.71000	1		9	0.256000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	33.000	1	16.15200	1	34.580002	1	252.700	1	0.75000	1		9	0.260000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	34.000	1	16.09400	1	34.589001	1	251.700	1	0.81000	1		9	0.266000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	35.000	1	16.01000	1	34.597000	1	250.700	1	0.88000	1		9	0.279000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	36.000	1	15.89700	1	34.605999	1	249.700	1	0.97000	1		9	0.297000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	37.000	1	15.73500	1	34.604000	1	249.000	1	1.03000	1		9	0.312000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	38.000	1	15.57200	1	34.597000	1	248.700	1	1.07000	1		9	0.317000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	39.000	1	15.39500	1	34.591000	1	248.500	1	1.04000	1		9	0.315000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	40.000	1	15.22600	1	34.588001	1	248.300	1	1.00000	1		9	0.310000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	41.000	1	15.01900	1	34.588001	1	248.200	1	0.94000	1		9	0.299000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	42.000	1	14.84700	1	34.588001	1	248.300	1	0.87000	1		9	0.287000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	43.000	1	14.72400	1	34.588001	1	248.400	1	0.80000	1		9	0.271000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	44.000	1	14.66500	1	34.588001	1	248.600	1	0.75000	1		9	0.255000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	45.000	1	14.61800	1	34.588001	1	248.700	1	0.71000	1		9	0.239000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	46.000	1	14.52100	1	34.588001	1	248.400	1	0.68000	1		9	0.225000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	47.000	1	14.37900	1	34.588001	1	247.900	1	0.62000	1		9	0.211000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	48.000	1	14.13200	1	34.588001	1	247.400	1	0.54000	1		9	0.197000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	49.000	1	13.87800	1	34.583000	1	247.200	1	0.45000	1		9	0.182000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	50.000	1	13.65800	1	34.576000	1	247.700	1	0.38000	1		9	0.168000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	51.000	1	13.54700	1	34.570000	1	248.500	1	0.33000	1		9	0.157000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	52.000	1	13.49200	1	34.569000	1	249.300	1	0.30000	1		9	0.147000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	53.000	1	13.42900	1	34.570000	1	249.600	1	0.29000	1		9	0.139000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	54.000	1	13.28600	1	34.570999	1	249.600	1	0.28000	1		9	0.133000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	55.000	1	13.08100	1	34.577999	1	249.600	1	0.27000	1		9	0.130000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	56.000	1	12.85500	1	34.587002	1	249.700	1	0.25000	1		9	0.128000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	57.000	1	12.67600	1	34.603001	1	249.700	1	0.22000	1		9	0.125000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	58.000	1	12.51700	1	34.616001	1	249.600	1	0.20000	1		9	0.120000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	59.000	1	12.39900	1	34.626999	1	249.500	1	0.19000	1		9	0.115000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	60.000	1	12.30200	1	34.632000	1	249.300	1	0.18000	1		9	0.110000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	61.000	1	12.18600	1	34.633999	1	249.000	1	0.17000	1		9	0.107000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	62.000	1	12.01900	1	34.634998	1	248.900	1	0.15000	1		9	0.103000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	63.000	1	11.69700	1	34.631001	1	248.900	1	0.14000	1		9	0.100000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	64.000	1	11.40700	1	34.624001	1	249.600	1	0.13000	1		9	0.095000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	65.000	1	11.16400	1	34.615002	1	250.200	1	0.13000	1		9	0.092000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	66.000	1	11.01300	1	34.606998	1	250.800	1	0.13000	1		9	0.088000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	67.000	1	10.87700	1	34.598999	1	250.200	1	0.13000	1		9	0.085000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	68.000	1	10.75400	1	34.594002	1	249.600	1	0.13000	1		9	0.081000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	69.000	1	10.71300	1	34.590000	1	249.000	1	0.13000	1		9	0.077000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	70.000	1	10.69800	1	34.591000	1	249.000	1	0.12000	1		9	0.074000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	71.000	1	10.66200	1	34.592999	1	248.700	1	0.12000	1		9	0.072000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	72.000	1	10.61100	1	34.596001	1	248.100	1	0.12000	1		9	0.072000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	73.000	1	10.55100	1	34.598000	1	247.600	1	0.11000	1		9	0.071000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	74.000	1	10.50300	1	34.598999	1	247.200	1	0.10000	1		9	0.069000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	75.000	1	10.46300	1	34.599998	1	246.900	1	0.09000	1		9	0.066000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	76.000	1	10.42600	1	34.602001	1	246.600	1	0.08000	1		9	0.064000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	77.000	1	10.39100	1	34.605999	1	246.400	1	0.08000	1		9	0.062000	1		9		9		9	1
GA02	UC057051	C	2011-03-09T23:14:00	315.98019	-42.37850	78.000	1	10.35700	1	34.609001	1	246.400	1	0.08000	1		9	0.060000	1		9		9		9	1
